pre,post,kind,weight
ADFR,URXR,chemical,10.0
ADFR,RIH,chemical,2.0
ADFR,ADAR,chemical,4.0
ADFR,AVHL,chemical,1.0
ADFR,PVPR,chemical,1.0
ADFR,SMBDR,chemical,2.0
ADFR,SMBVR,chemical,19.0
AFDR,ASER,chemical,4.0
AFDR,AIYR,chemical,29.0
AFDR,ASEL,chemical,1.0
AFDR,AFDL,chemical,1.0
RIR,ADFL,chemical,1.0
RIR,AIZL,chemical,12.0
RIR,RIAL,chemical,11.0
RIR,ASHR,chemical,1.0
RIR,HSNL,chemical,1.0
RIR,ASHL,chemical,1.0
RIR,AWBR,chemical,1.0
RIR,ADFR,chemical,4.0
RIR,AFDR,chemical,1.0
RIR,AIZR,chemical,15.0
RIR,RIGR,chemical,4.0
RIR,RIGL,chemical,2.0
RIR,AIMR,chemical,1.0
RIR,RIAR,chemical,4.0
RIR,URXL,chemical,9.0
RIR,AUAL,chemical,7.0
RIR,URXR,chemical,6.0
RIR,ADAR,chemical,1.0
RIR,PVPR,chemical,1.0
RIR,RMGR,chemical,1.0
RIR,BAGR,chemical,1.0
RIR,AVEL,chemical,4.0
RIR,AQR,chemical,2.0
RIR,RMGL,chemical,1.0
RIR,DVA,chemical,9.0
RIR,PVPL,chemical,2.0
AUAR,AIYR,chemical,1.0
AUAR,AIZR,chemical,2.0
AUAR,AINR,chemical,1.0
AUAR,RIAR,chemical,22.0
AUAR,BAGL,chemical,1.0
AUAR,URXR,chemical,5.0
AUAR,AVAR,chemical,3.0
AUAR,AVER,chemical,13.0
AUAR,AINL,chemical,1.0
AUAR,RIBR,chemical,31.0
AIZR,AWAR,chemical,1.0
AIZR,ASER,chemical,2.0
AIZR,AWCR,chemical,2.0
AIZR,AIBL,chemical,50.0
AIZR,AIAR,chemical,5.0
AIZR,AIBR,chemical,3.0
AIZR,ADFR,chemical,1.0
AIZR,RIAR,chemical,25.0
AIZR,SMBDR,chemical,17.0
AIZR,SMBVR,chemical,10.0
AIZR,AVER,chemical,1.0
AIZR,AVEL,chemical,28.0
AIZR,SIADR,chemical,1.0
AIZR,SMDDR,chemical,4.0
AIZR,DVA,chemical,3.0
AIZR,RIMR,chemical,34.0
RIFR,CEPVR,chemical,2.0
RIFR,AIZL,chemical,1.0
RIFR,ASHR,chemical,6.0
RIFR,ADLR,chemical,1.0
RIFR,HSNL,chemical,2.0
RIFR,HSNR,chemical,3.0
RIFR,AWBR,chemical,2.0
RIFR,AVBL,chemical,1.0
RIFR,RIAR,chemical,1.0
RIFR,AVBR,chemical,35.0
RIFR,URXR,chemical,3.0
RIFR,PVPR,chemical,6.0
RIFR,AVFL,chemical,1.0
RIFR,PVCL,chemical,1.0
RIFR,AVJL,chemical,2.0
RIFR,AVJR,chemical,2.0
RIFR,RIPR,chemical,2.0
RIFR,PVCR,chemical,1.0
RIFR,RIFL,chemical,1.0
RIFR,RIMR,chemical,10.0
RIGR,AIBL,chemical,2.0
RIGR,AFDR,chemical,1.0
RIGR,RIR,chemical,5.0
RIGR,AIZR,chemical,5.0
RIGR,URYVR,chemical,2.0
RIGR,OLQVR,chemical,2.0
RIGR,RIAR,chemical,3.0
RIGR,BAGL,chemical,2.0
RIGR,URXR,chemical,3.0
RIGR,AVDL,chemical,1.0
RIGR,AVER,chemical,4.0
RIGR,RIBR,chemical,2.0
RIGR,RMHL,chemical,17.0
RIGR,ALNR,chemical,3.0
RIGR,DVA,chemical,4.0
RIGR,AVKL,chemical,21.0
RIGR,PVT,chemical,5.0
RIGR,DVC,chemical,2.0
RIGR,AVKR,chemical,5.0
AINR,ASGL,chemical,1.0
AINR,ASER,chemical,3.0
AINR,AWCL,chemical,2.0
AINR,AIAL,chemical,2.0
AINR,RIBL,chemical,8.0
AINR,AIBL,chemical,2.0
AINR,ASEL,chemical,1.0
AINR,CEPDL,chemical,2.0
AINR,AFDL,chemical,9.0
AINR,AFDR,chemical,3.0
AINR,AUAR,chemical,2.0
AINR,AINR,chemical,1.0
AINR,URXL,chemical,2.0
AINR,AUAL,chemical,1.0
AINR,URXR,chemical,2.0
AINR,BAGR,chemical,9.0
AINR,AINL,chemical,1.0
AINR,RID,chemical,2.0
AVHR,ADLR,chemical,3.0
AVHR,ASKR,chemical,1.0
AVHR,AWBL,chemical,1.0
AVHR,RIR,chemical,8.0
AVHR,RIGL,chemical,1.0
AVHR,AVBL,chemical,3.0
AVHR,SMBDL,chemical,3.0
AVHR,SMBVL,chemical,1.0
AVHR,AVBR,chemical,1.0
AVHR,AVHL,chemical,1.0
AVHR,AVAL,chemical,1.0
AVHR,AVFL,chemical,2.0
AVHR,AVDR,chemical,1.0
AVHR,AVJR,chemical,5.0
AVHR,AQR,chemical,1.0
AVHR,DVA,chemical,1.0
AVHR,PVPL,chemical,9.0
AVHR,AVG,chemical,1.0
AVHR,AVFR,chemical,2.0
RIGL,ADFL,chemical,1.0
RIGL,AIZL,chemical,10.0
RIGL,RIBL,chemical,3.0
RIGL,AIBR,chemical,4.0
RIGL,RIR,chemical,8.0
RIGL,AIZR,chemical,2.0
RIGL,ADLL,chemical,2.0
RIGL,URXL,chemical,6.0
RIGL,RIH,chemical,2.0
RIGL,AVER,chemical,1.0
RIGL,OLQVL,chemical,2.0
RIGL,BAGR,chemical,3.0
RIGL,AVEL,chemical,7.0
RIGL,RMGL,chemical,6.0
RIGL,ALNL,chemical,6.0
RIGL,DVA,chemical,1.0
RIGL,RMHR,chemical,23.0
RIGL,PVPL,chemical,2.0
RIGL,AVKR,chemical,17.0
AVBL,AVBR,chemical,6.0
AVBL,PVPR,chemical,3.0
AVBL,AVAL,chemical,9.0
AVBL,AVDR,chemical,3.0
AVBL,AVAR,chemical,14.0
AVBL,AVER,chemical,1.0
AVBL,AVJR,chemical,1.0
AVBL,AVEL,chemical,1.0
AVBL,SDQL,chemical,1.0
AVBL,DVA,chemical,2.0
AVBL,PVCR,chemical,2.0
AVBL,PVNR,chemical,3.0
AVBL,VA2,chemical,3.0
AVBL,AVL,chemical,1.0
AVBL,VB2,chemical,3.0
AVBL,DA5,chemical,1.0
AVBL,AS10,chemical,2.0
AVBL,VA11,chemical,1.0
AVBL,AS4,chemical,1.0
AVBL,VA10,chemical,1.0
AVBL,DA7,chemical,1.0
AVBL,AS5,chemical,2.0
AVBL,VC3,chemical,3.0
SMBDL,AIZL,chemical,1.0
SMBDL,SMBVL,chemical,2.0
SMBDL,RIH,chemical,2.0
SMBDL,SIADL,chemical,19.0
SMBDL,ALNR,chemical,1.0
SMBDL,SAAVR,chemical,9.0
SMBDL,SIAVL,chemical,3.0
SMBDL,SDQR,chemical,18.0
SMBDL,SMDDL,chemical,7.0
SMBDL,RMED,chemical,4.0
SMBVL,AVHR,chemical,1.0
SMBVL,SMBDL,chemical,2.0
SMBVL,AVBR,chemical,1.0
SMBVL,AIML,chemical,1.0
SMBVL,AVFL,chemical,1.0
SMBVL,AVJR,chemical,1.0
SMBVL,PLNL,chemical,5.0
SMBVL,SAADL,chemical,16.0
SMBVL,SIAVL,chemical,1.0
SMBVL,PVPL,chemical,1.0
SMBVL,RMEV,chemical,20.0
SMBVL,RMDVR,chemical,1.0
URYVR,CEPVR,chemical,1.0
URYVR,AVBL,chemical,5.0
URYVR,RIAR,chemical,2.0
URYVR,SMDVL,chemical,11.0
URYVR,ADAR,chemical,1.0
URYVR,SMBDR,chemical,1.0
URYVR,AVAL,chemical,2.0
URYVR,SIBVL,chemical,5.0
URYVR,RIBR,chemical,19.0
URYVR,AVEL,chemical,26.0
URYVR,RMDDR,chemical,32.0
URYVR,RMDVL,chemical,19.0
URYVR,AVL,chemical,5.0
URYVR,RMDL,chemical,2.0
URYVR,SIBDR,chemical,4.0
URYVR,IL1VR,chemical,3.0
OLQVR,RIH,chemical,18.0
OLQVR,RICR,chemical,3.0
OLQVR,RIPR,chemical,18.0
OLQVR,RMDVL,chemical,18.0
OLQVR,RMHR,chemical,1.0
OLQVR,RMER,chemical,2.0
OLQVR,SIBDR,chemical,18.0
OLQVR,IL1VR,chemical,2.0
AIMR,CEPVR,chemical,1.0
AIMR,ASGR,chemical,6.0
AIMR,AIAR,chemical,10.0
AIMR,ASKR,chemical,4.0
AIMR,ALA,chemical,2.0
AIMR,HSNL,chemical,3.0
AIMR,HSNR,chemical,3.0
AIMR,ASJR,chemical,4.0
AIMR,ADFR,chemical,2.0
AIMR,RIFR,chemical,3.0
AIMR,AVHR,chemical,2.0
AIMR,AIMR,chemical,1.0
AIMR,URXR,chemical,5.0
AIMR,AVFL,chemical,3.0
AIMR,AVDR,chemical,2.0
AIMR,AVAR,chemical,1.0
AIMR,RMGR,chemical,4.0
AIMR,AVJR,chemical,1.0
AIMR,RMDR,chemical,1.0
AIMR,BDUR,chemical,2.0
AIMR,PVNR,chemical,1.0
AIMR,OLQDR,chemical,1.0
AIMR,AVFR,chemical,4.0
RIAR,CEPVR,chemical,1.0
RIAR,RIAL,chemical,38.0
RIAR,ADFR,chemical,2.0
RIAR,AUAR,chemical,2.0
RIAR,RIAR,chemical,3.0
RIAR,RIVL,chemical,3.0
RIAR,SMDVL,chemical,43.0
RIAR,SMBDR,chemical,2.0
RIAR,SMBVR,chemical,2.0
RIAR,AVAR,chemical,2.0
RIAR,RIBR,chemical,1.0
RIAR,RIVR,chemical,3.0
RIAR,RMDDL,chemical,48.0
RIAR,RMDR,chemical,35.0
RIAR,RMDDR,chemical,53.0
RIAR,SIADR,chemical,4.0
RIAR,SMDDR,chemical,26.0
RIAR,SIAVL,chemical,7.0
RIAR,SAADR,chemical,1.0
RIAR,RMDVL,chemical,57.0
RIAR,CEPVL,chemical,1.0
RIAR,SMDDL,chemical,32.0
RIAR,RMDL,chemical,9.0
RIAR,IL1R,chemical,2.0
RIAR,SMDVR,chemical,26.0
RIAR,RMDVR,chemical,47.0
AVBR,AIBR,chemical,1.0
AVBR,HSNR,chemical,1.0
AVBR,AVBL,chemical,2.0
AVBR,AVAL,chemical,10.0
AVBR,AVDL,chemical,4.0
AVBR,AVAR,chemical,14.0
AVBR,AVER,chemical,2.0
AVBR,AVJL,chemical,2.0
AVBR,AS10,chemical,1.0
AVBR,VD3,chemical,2.0
AVBR,DA3,chemical,3.0
AVBR,AS4,chemical,1.0
AVBR,AS1,chemical,2.0
AVBR,AS3,chemical,3.0
AVBR,VA4,chemical,2.0
AVBR,DA7,chemical,1.0
AVBR,AS5,chemical,2.0
AVBR,VA7,chemical,1.0
IL2R,OLQVR,chemical,26.0
IL2R,OLLR,chemical,5.0
IL2R,URXR,chemical,1.0
IL2R,RIH,chemical,19.0
IL2R,RMGR,chemical,1.0
IL2R,AVER,chemical,2.0
IL2R,URBR,chemical,3.0
IL2R,URAVR,chemical,1.0
IL2R,ADER,chemical,5.0
IL2R,RMDL,chemical,3.0
IL2R,IL1R,chemical,2.0
IL2R,RMEL,chemical,5.0
IL2R,RMEV,chemical,2.0
IL2R,OLQDR,chemical,10.0
IL2R,URADR,chemical,2.0
OLLR,CEPVR,chemical,16.0
OLLR,IL2R,chemical,1.0
OLLR,OLLR,chemical,4.0
OLLR,SMDVL,chemical,11.0
OLLR,RIBR,chemical,21.0
OLLR,AVEL,chemical,39.0
OLLR,CEPDR,chemical,4.0
OLLR,RMDR,chemical,2.0
OLLR,RMDDR,chemical,26.0
OLLR,ADER,chemical,2.0
OLLR,SMDDR,chemical,1.0
OLLR,RIS,chemical,2.0
OLLR,SMDDL,chemical,3.0
OLLR,RMER,chemical,3.0
OLLR,RMDL,chemical,9.0
OLLR,SMDVR,chemical,4.0
OLLR,RMED,chemical,1.0
OLLR,OLQDR,chemical,1.0
OLLR,IL1DR,chemical,1.0
OLLR,IL1VR,chemical,2.0
OLLR,RMDVR,chemical,6.0
ADLL,RIPL,chemical,3.0
ADLL,ASGL,chemical,2.0
ADLL,ASER,chemical,12.0
ADLL,AWCL,chemical,2.0
ADLL,AIAL,chemical,19.0
ADLL,AIBL,chemical,26.0
ADLL,RIAL,chemical,1.0
ADLL,ASEL,chemical,1.0
ADLL,ALA,chemical,5.0
ADLL,AWAL,chemical,1.0
ADLL,AWBL,chemical,3.0
ADLL,ASHL,chemical,6.0
ADLL,ADAL,chemical,1.0
ADLL,RIR,chemical,1.0
ADLL,RIGL,chemical,1.0
ADLL,AVBL,chemical,12.0
ADLL,SMBVL,chemical,5.0
ADLL,AVAL,chemical,9.0
ADLL,AVDL,chemical,4.0
ADLL,AVDR,chemical,15.0
ADLL,AVAR,chemical,5.0
ADLL,OLQVL,chemical,2.0
ADLL,AVJL,chemical,3.0
ADLL,AVJR,chemical,9.0
URXL,ASIL,chemical,1.0
URXL,ADFL,chemical,1.0
URXL,AIZL,chemical,1.0
URXL,RIAL,chemical,15.0
URXL,CEPDL,chemical,1.0
URXL,HSNR,chemical,1.0
URXL,ASHL,chemical,1.0
URXL,ADAL,chemical,6.0
URXL,RIR,chemical,1.0
URXL,RIGL,chemical,6.0
URXL,AVBL,chemical,4.0
URXL,URXL,chemical,3.0
URXL,AUAL,chemical,14.0
URXL,AVAL,chemical,1.0
URXL,IL2L,chemical,1.0
URXL,AIML,chemical,2.0
URXL,AVDR,chemical,1.0
URXL,OLQVL,chemical,2.0
URXL,AVJR,chemical,4.0
URXL,RICL,chemical,8.0
URXL,BAGR,chemical,2.0
URXL,AVEL,chemical,9.0
URXL,RID,chemical,1.0
URXL,IL1DL,chemical,2.0
URXL,RMGL,chemical,5.0
AUAL,ADFL,chemical,1.0
AUAL,AIYL,chemical,1.0
AUAL,AIZL,chemical,2.0
AUAL,RIBL,chemical,35.0
AUAL,RIAL,chemical,21.0
AUAL,AIBR,chemical,1.0
AUAL,URXL,chemical,1.0
AUAL,AVAL,chemical,11.0
AUAL,AVDR,chemical,2.0
AUAL,BAGR,chemical,3.0
AUAL,AVEL,chemical,9.0
AUAL,DVA,chemical,2.0
RIVL,RIAL,chemical,5.0
RIVL,RIAR,chemical,2.0
RIVL,SMDVL,chemical,2.0
RIVL,RIVR,chemical,1.0
RIVL,SIAVR,chemical,5.0
RIVL,SMDDR,chemical,8.0
RIVL,SAADR,chemical,11.0
RIVL,RMDVL,chemical,5.0
RIVL,RMDL,chemical,4.0
SMDVL,CEPVR,chemical,1.0
SMDVL,RIAL,chemical,19.0
SMDVL,RIAR,chemical,31.0
SMDVL,RIVL,chemical,6.0
SMDVL,IL2L,chemical,1.0
SMDVL,SIBVL,chemical,30.0
SMDVL,RIBR,chemical,1.0
SMDVL,SIAVR,chemical,30.0
SMDVL,ALNL,chemical,2.0
SMDVL,RMDDR,chemical,3.0
SMDVL,SIADR,chemical,1.0
SMDVL,ALNR,chemical,6.0
SMDVL,SMDDR,chemical,22.0
SMDVL,PLNL,chemical,6.0
SMDVL,PVR,chemical,1.0
SMDVL,SMDVR,chemical,2.0
BAGL,CEPVR,chemical,2.0
BAGL,AIBL,chemical,2.0
BAGL,ADFR,chemical,1.0
BAGL,AUAR,chemical,2.0
BAGL,AIZR,chemical,2.0
BAGL,RIGR,chemical,7.0
BAGL,RIGL,chemical,3.0
BAGL,RIAR,chemical,18.0
BAGL,URXR,chemical,1.0
BAGL,AVAR,chemical,3.0
BAGL,AVER,chemical,7.0
BAGL,RIPR,chemical,1.0
BAGL,BAGR,chemical,1.0
BAGL,AINL,chemical,1.0
BAGL,RIBR,chemical,19.0
BAGL,AVEL,chemical,2.0
BAGL,RID,chemical,3.0
BAGL,URAVR,chemical,1.0
BAGL,RIVR,chemical,2.0
URXR,ADLR,chemical,3.0
URXR,AWBR,chemical,2.0
URXR,ADFR,chemical,4.0
URXR,RIR,chemical,4.0
URXR,AUAR,chemical,21.0
URXR,RIFR,chemical,3.0
URXR,RIGR,chemical,7.0
URXR,AVBL,chemical,2.0
URXR,OLQVR,chemical,2.0
URXR,AIMR,chemical,3.0
URXR,RIAR,chemical,20.0
URXR,AVBR,chemical,3.0
URXR,ADAR,chemical,1.0
URXR,SMBVR,chemical,7.0
URXR,AVAR,chemical,2.0
URXR,RMGR,chemical,6.0
URXR,AVER,chemical,2.0
URXR,URBR,chemical,8.0
URXR,RICR,chemical,3.0
URXR,RIPR,chemical,10.0
URXR,ALMR,chemical,1.0
URXR,CEPDR,chemical,1.0
URXR,RMDDL,chemical,2.0
URXR,RMDR,chemical,8.0
URXR,SIADL,chemical,2.0
URXR,SIAVR,chemical,4.0
RIH,RIPL,chemical,18.0
RIH,CEPVR,chemical,6.0
RIH,AIYL,chemical,3.0
RIH,AIYR,chemical,4.0
RIH,AIZL,chemical,12.0
RIH,RIBL,chemical,18.0
RIH,RIAL,chemical,34.0
RIH,CEPDL,chemical,6.0
RIH,ADFR,chemical,3.0
RIH,AUAR,chemical,2.0
RIH,AIZR,chemical,19.0
RIH,URYVR,chemical,4.0
RIH,OLQVR,chemical,7.0
RIH,RIAR,chemical,36.0
RIH,IL2R,chemical,3.0
RIH,BAGL,chemical,2.0
RIH,IL2L,chemical,2.0
RIH,OLQVL,chemical,13.0
RIH,RIPR,chemical,7.0
RIH,BAGR,chemical,5.0
RIH,RIBR,chemical,15.0
RIH,URAVR,chemical,1.0
RIH,CEPVL,chemical,3.0
RIH,RMER,chemical,6.0
RIH,OLQDL,chemical,11.0
RIH,RMEV,chemical,10.0
RIH,OLQDR,chemical,7.0
RIH,IL2VL,chemical,4.0
RIH,IL2VR,chemical,5.0
ADAR,AIBL,chemical,1.0
ADAR,ASHR,chemical,2.0
ADAR,AIBR,chemical,3.0
ADAR,RIFR,chemical,1.0
ADAR,AVBL,chemical,8.0
ADAR,AVBR,chemical,15.0
ADAR,SMDVL,chemical,1.0
ADAR,URXR,chemical,2.0
ADAR,AVDL,chemical,2.0
ADAR,AVDR,chemical,3.0
ADAR,AVAR,chemical,8.0
ADAR,AVJL,chemical,13.0
ADAR,RIPR,chemical,9.0
ADAR,AVEL,chemical,1.0
ADAR,RIVR,chemical,5.0
ADAR,PVR,chemical,6.0
ADAR,RIMR,chemical,15.0
ADAR,URYDR,chemical,2.0
AVHL,ASHR,chemical,1.0
AVHL,PVQR,chemical,3.0
AVHL,AWBR,chemical,3.0
AVHL,ADFR,chemical,5.0
AVHL,RIR,chemical,2.0
AVHL,RIFR,chemical,1.0
AVHL,AVHR,chemical,1.0
AVHL,AVBL,chemical,2.0
AVHL,AVBR,chemical,1.0
AVHL,PVPR,chemical,2.0
AVHL,SMBDR,chemical,4.0
AVHL,SMBVR,chemical,4.0
AVHL,AVFL,chemical,1.0
AVHL,AVDL,chemical,1.0
AVHL,AVAR,chemical,1.0
AVHL,AVJL,chemical,4.0
AVHL,AVJR,chemical,1.0
AVHL,PVPL,chemical,1.0
AVHL,BDUR,chemical,1.0
AVHL,DD1,chemical,1.0
AVHL,RIMR,chemical,1.0
AVHL,SABD,chemical,1.0
AVHL,AVFR,chemical,5.0
AVHL,VD1,chemical,1.0
PVPR,ASHR,chemical,2.0
PVPR,HSNR,chemical,2.0
PVPR,PVQR,chemical,1.0
PVPR,ADFR,chemical,2.0
PVPR,RIGR,chemical,2.0
PVPR,AVBL,chemical,8.0
PVPR,RIAR,chemical,2.0
PVPR,AVBR,chemical,11.0
PVPR,URXR,chemical,1.0
PVPR,AVHL,chemical,3.0
PVPR,AVAL,chemical,1.0
PVPR,AVAR,chemical,5.0
PVPR,PVCL,chemical,6.0
PVPR,AVJL,chemical,2.0
PVPR,AQR,chemical,5.0
PVPR,PVCR,chemical,13.0
PVPR,AVG,chemical,1.0
PVPR,RIMR,chemical,1.0
PVPR,AVL,chemical,4.0
PVPR,DVC,chemical,3.0
PVPR,DD2,chemical,1.0
SMBDR,SAAVL,chemical,8.0
SMBDR,SMBDL,chemical,3.0
SMBDR,RIVL,chemical,1.0
SMBDR,AVAL,chemical,1.0
SMBDR,SIAVR,chemical,1.0
SMBDR,ALNL,chemical,5.0
SMBDR,SIADR,chemical,20.0
SMBDR,SMDDR,chemical,4.0
SMBDR,SDQL,chemical,18.0
SMBDR,RMED,chemical,25.0
SMBVR,CEPVR,chemical,8.0
SMBVR,ADLR,chemical,2.0
SMBVR,RIAR,chemical,1.0
SMBVR,AVHL,chemical,2.0
SMBVR,SMBDR,chemical,2.0
SMBVR,RMGR,chemical,3.0
SMBVR,RMDR,chemical,3.0
SMBVR,SIAVR,chemical,1.0
SMBVR,PLNR,chemical,5.0
SMBVR,SAADR,chemical,12.0
SMBVR,PVR,chemical,2.0
SMBVR,RMDL,chemical,2.0
SMBVR,RMEV,chemical,8.0
AVAL,RIAL,chemical,3.0
AVAL,AVBL,chemical,2.0
AVAL,AVDL,chemical,3.0
AVAL,AVDR,chemical,2.0
AVAL,AVAR,chemical,12.0
AVAL,AVER,chemical,2.0
AVAL,PVCL,chemical,21.0
AVAL,AVEL,chemical,1.0
AVAL,PVCR,chemical,16.0
AVAL,LUAR,chemical,2.0
AVAL,PVNL,chemical,1.0
AVAL,DA8,chemical,5.0
AVAL,DB7,chemical,2.0
AVAL,AS11,chemical,8.0
AVAL,DA1,chemical,6.0
AVAL,VA2,chemical,8.0
AVAL,VA9,chemical,7.0
AVAL,VA1,chemical,2.0
AVAL,DA2,chemical,10.0
AVAL,VA6,chemical,8.0
AVAL,VA8,chemical,7.0
AVAL,VA12,chemical,5.0
AVAL,LUAL,chemical,6.0
AVAL,DA9,chemical,3.0
AVAL,DA5,chemical,14.0
AVAL,AS10,chemical,5.0
AVAL,VA5,chemical,7.0
AVAL,VA11,chemical,6.0
AVAL,SABVL,chemical,2.0
AVAL,DA3,chemical,12.0
AVAL,DA4,chemical,12.0
AVAL,AS4,chemical,2.0
AVAL,VA3,chemical,6.0
AVAL,VA10,chemical,9.0
AVAL,DA6,chemical,1.0
AVAL,VA4,chemical,7.0
AVAL,AS2,chemical,2.0
AVAL,DA7,chemical,4.0
AVAL,AS5,chemical,6.0
AVAL,VA7,chemical,7.0
AVAL,DB5,chemical,2.0
AVAL,AS7,chemical,6.0
AVAL,AS8,chemical,6.0
IL2L,URXL,chemical,3.0
IL2L,RIH,chemical,25.0
IL2L,OLQVL,chemical,19.0
IL2L,RICL,chemical,1.0
IL2L,AVEL,chemical,2.0
IL2L,RMDR,chemical,3.0
IL2L,ADEL,chemical,6.0
IL2L,IL1L,chemical,6.0
IL2L,RMER,chemical,10.0
IL2L,OLQDL,chemical,20.0
IL2L,RMEV,chemical,5.0
IL2L,URAVL,chemical,2.0
AIML,ASGL,chemical,8.0
AIML,ASKL,chemical,7.0
AIML,AIAL,chemical,11.0
AIML,ASJL,chemical,2.0
AIML,CEPDL,chemical,3.0
AIML,PVQL,chemical,1.0
AIML,AVHR,chemical,1.0
AIML,SMBVL,chemical,4.0
AIML,URXL,chemical,1.0
AIML,AVHL,chemical,2.0
AIML,AVFL,chemical,5.0
AIML,AVDL,chemical,1.0
AIML,AVJL,chemical,1.0
AIML,RID,chemical,2.0
AIML,RMGL,chemical,3.0
AIML,ALML,chemical,1.0
AIML,RIFL,chemical,2.0
AIML,AVFR,chemical,4.0
AVFL,PVQL,chemical,1.0
AVFL,HSNL,chemical,2.0
AVFL,HSNR,chemical,3.0
AVFL,PVQR,chemical,1.0
AVFL,RIFR,chemical,1.0
AVFL,AVHR,chemical,1.0
AVFL,AVBL,chemical,4.0
AVFL,SMBVL,chemical,1.0
AVFL,AVBR,chemical,1.0
AVFL,AVHL,chemical,4.0
AVFL,AIML,chemical,1.0
AVFL,AVJL,chemical,2.0
AVFL,PVNL,chemical,1.0
AVFL,AVG,chemical,5.0
AVFL,RIFL,chemical,1.0
AVFL,PDER,chemical,1.0
AVFL,VB1,chemical,2.0
AVFL,AVL,chemical,5.0
AVFL,VB2,chemical,2.0
AVFL,AVFR,chemical,12.0
AVFL,DVB,chemical,1.0
AVFL,AS10,chemical,1.0
AVFL,VC1,chemical,1.0
AVDL,AVAL,chemical,37.0
AVDL,AVDR,chemical,5.0
AVDL,AVAR,chemical,37.0
AVDL,PVCL,chemical,1.0
AVDL,AVJL,chemical,1.0
AVDL,AVEL,chemical,5.0
AVDL,DA8,chemical,2.0
AVDL,AS11,chemical,4.0
AVDL,DA1,chemical,4.0
AVDL,VA1,chemical,2.0
AVDL,SABD,chemical,5.0
AVDL,DA2,chemical,2.0
AVDL,VA12,chemical,1.0
AVDL,LUAL,chemical,2.0
AVDL,DVC,chemical,2.0
AVDL,DA5,chemical,1.0
AVDL,AS10,chemical,1.0
AVDL,VA5,chemical,1.0
AVDL,SABVL,chemical,2.0
AVDL,SABVR,chemical,5.0
AVDL,DA3,chemical,9.0
AVDL,DA4,chemical,3.0
AVDL,AS4,chemical,2.0
AVDL,VA3,chemical,3.0
AVDL,VA10,chemical,2.0
AVDR,ALA,chemical,1.0
AVDR,AVBL,chemical,1.0
AVDR,AVAL,chemical,41.0
AVDR,AVDL,chemical,3.0
AVDR,AVAR,chemical,52.0
AVDR,AVER,chemical,2.0
AVDR,AVJR,chemical,1.0
AVDR,PVCR,chemical,2.0
AVDR,PQR,chemical,3.0
AVDR,DA8,chemical,1.0
AVDR,AS11,chemical,3.0
AVDR,DA1,chemical,5.0
AVDR,VA2,chemical,1.0
AVDR,SABD,chemical,1.0
AVDR,DA2,chemical,5.0
AVDR,DB4,chemical,1.0
AVDR,LUAL,chemical,3.0
AVDR,DA9,chemical,1.0
AVDR,DVC,chemical,4.0
AVDR,DA5,chemical,3.0
AVDR,AS10,chemical,2.0
AVDR,VA5,chemical,3.0
AVDR,VA11,chemical,1.0
AVDR,SABVL,chemical,5.0
AVDR,SABVR,chemical,1.0
AVDR,DA3,chemical,3.0
AVDR,DA4,chemical,2.0
AVDR,VA3,chemical,2.0
AVDR,DA6,chemical,1.0
AVDR,DB1,chemical,1.0
RIML,RIBL,chemical,9.0
RIML,AIBL,chemical,1.0
RIML,SAAVL,chemical,10.0
RIML,RIAL,chemical,3.0
RIML,RMFL,chemical,2.0
RIML,AIBR,chemical,22.0
RIML,AVBL,chemical,9.0
RIML,AVBR,chemical,11.0
RIML,SMDVL,chemical,11.0
RIML,AVAL,chemical,5.0
RIML,RIML,chemical,11.0
RIML,AVAR,chemical,2.0
RIML,AVER,chemical,5.0
RIML,RICR,chemical,1.0
RIML,RMDR,chemical,21.0
RIML,SAAVR,chemical,10.0
RIML,SMDDR,chemical,14.0
RIML,SAADL,chemical,1.0
RIML,SAADR,chemical,4.0
RIML,SMDDL,chemical,11.0
RIML,VB1,chemical,8.0
RIML,RIMR,chemical,2.0
RIML,RMDL,chemical,9.0
RIML,AVKR,chemical,1.0
RIML,RMFR,chemical,2.0
AVAR,RIGL,chemical,1.0
AVAR,AVBL,chemical,3.0
AVAR,AVBR,chemical,4.0
AVAR,AVAL,chemical,7.0
AVAR,AVDL,chemical,3.0
AVAR,AVDR,chemical,6.0
AVAR,AVER,chemical,3.0
AVAR,PVCL,chemical,20.0
AVAR,AVEL,chemical,2.0
AVAR,SAAVR,chemical,6.0
AVAR,PVCR,chemical,20.0
AVAR,LUAR,chemical,16.0
AVAR,DA8,chemical,20.0
AVAR,AS11,chemical,10.0
AVAR,DA1,chemical,2.0
AVAR,VA2,chemical,5.0
AVAR,PDEL,chemical,3.0
AVAR,PDER,chemical,3.0
AVAR,VA9,chemical,7.0
AVAR,DA2,chemical,9.0
AVAR,DB2,chemical,2.0
AVAR,DB3,chemical,2.0
AVAR,VA6,chemical,9.0
AVAR,VA8,chemical,7.0
AVAR,SMDVR,chemical,1.0
AVAR,LUAL,chemical,4.0
AVAR,DA9,chemical,3.0
AVAR,DA5,chemical,9.0
AVAR,VA5,chemical,2.0
AVAR,VA11,chemical,13.0
AVAR,SABVR,chemical,2.0
AVAR,DA3,chemical,8.0
AVAR,DA4,chemical,9.0
AVAR,AS4,chemical,2.0
AVAR,VA3,chemical,6.0
AVAR,VA10,chemical,4.0
AVAR,DA6,chemical,4.0
